id,title,year,released_month,genre,rated,runtime,language,director,writer,main_actor,metascore,rating,votes,budget,gross
"47","The 5th Wave","2016","Jan","Action","PG-13","112","English","J Blakeson","Susannah Grant","Chloë Grace Moretz","33","56","13,202","38000000","29519370"
"48","Americons","2015","Jan","Action","R","88","English","Theo Avgerinos","Beau Martin Williams (writer","Beau Martin Williams","25","69","59","400000","122410"
"49","The Second Best Exotic Marigold Hotel","2015","Mar","Comedy","PG","122","English","John Madden","John Madden","Dev Patel","51","66","19409","10000000","33071558"
"50","Paul Blart: Mall Cop 2","2015","Apr","Action","PG","94","English","Andy Fickman","Kevin James","Kevin James","13","44","21219","30000000","71038190"
"51","Maggie","2015","May","Drama","PG-13","95","English","Henry Hobson","John Scott 3","Arnold Schwarzenegger","52","56","26541","8500000","187112"
"52","The Danish Girl","2015","Jan","Biography","R","119","English","Tom Hooper","David Ebershoff","Alicia Vikander","66","70","52609","25000000","10613785"
"53","The Night Before","2015","Nov","Comedy","R","101","English","Jonathan Levine","Jonathan Levine","Joseph Gordon-Levitt","58","68","14863","25000000","43035725"
"54","Lucky Numbers","2015","Oct","Comedy","R","105","English","Nora Ephron","Adam Resnick","John Travolta","31","50","8396","2000","4000"
"55","The Last Witch Hunter","2015","Oct","Action","PG-13","106","English","Breck Eisner","Cory Goodman","Vin Diesel","34","60","40628","75000000","27356090"
"56","Straight Outta Compton","2015","Aug","Biography","R","147","English","F. Gary Gray","Jonathan Herman","O'Shea Jackson Jr.","72","80","96338","28000000","160902085"
"57","War Room","2015","Aug","Drama","PG","120","English","Alex Kendrick","Alex Kendrick","Karen Abercrombie","26","63","6575","3000000","67790117"
"58","The Boy Next Door","2015","Jan","Mystery","R","91","English","Rob Cohen","Barbara Curry","Jennifer Lopez","30","46","24392","4000000","35385560"
"59","The Wedding Ringer","2015","Jan","Comedy","R","101","English","Jeremy Garelick","Jeremy Garelick","Kevin Hart","35","67","47847","23000000","64460211"
"60","The Hunger Games: Mockingjay - Part 2","2015","Nov","Adventure","PG-13","137","English","Francis Lawrence","Peter Craig","Jennifer Lawrence","65","69","97247","160000000","280976000"
"61","Grandma","2015","Sep","Comedy","R","79","English","Paul Weitz","Paul Weitz","Lily Tomlin","77","68","5,131","600000","6975272"
"62","The Vatican Tapes","2015","Jul","Horror","PG-13","91","English","Mark Neveldine","Chris Morgan","Olivia Taylor Dudley","37","45","5770","8495000","1712111"
"63","Spectre","2015","Nov","Action","PG-13","148","English","Sam Mendes","John Logan","Daniel Craig","60","69","229683","245000000","199591466"
"64","In the Heart of the Sea","2015","Dec","Action","PG-13","122","English","Ron Howard","Charles Leavitt","Chris Hemsworth","47","70","33186","100000000","24985612"
